break
20220427 16:56:17 819, UsagePage: 65280, Usage: 1, Data: 10024104728240
20220427 16:58:59 695, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:58:59 718, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:58:59 743, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:58:59 767, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:59 790, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:59:00 549, UsagePage: 65280, Usage: 2, Data: 1102092000510100000000000000000000000000
20220427 16:59:00 613, UsagePage: 65280, Usage: 2, Data: 1102092000510000000000000000000000000000
20220427 16:59:00 737, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:59:00 761, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:59:00 787, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:59:00 811, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000100000000000000000000
20220427 16:59:00 835, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:59:00 858, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000100000000000000000000
20220427 16:59:00 882, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:59:00 906, UsagePage: 65280, Usage: 2, Data: 1102093C00522300520B00000000000000000000
20220427 16:59:00 928, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:59:00 950, UsagePage: 65280, Usage: 2, Data: 1102093C00562300560B00000000000000000000
20220427 16:59:00 976, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:59:00 997, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:59:01 017, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:59:01 038, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:59:01 064, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:59:01 088, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:59:01 112, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:59:01 136, UsagePage: 65280, Usage: 2, Data: 11020D1C00130000000000000000000000000000
20220427 16:59:01 160, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:59:01 185, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:59:01 209, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:59:01 233, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:59:01 257, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:59:01 693, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:59:01 789, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:59:02 495, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:59:02 567, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:59:03 506, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:59:03 586, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:59:04 409, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:59:04 481, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
